counter	timestamp	deadtime	ch1_height	ch2_height	Delta_T
105	1719999639.9881258	0.002333930974662094	1199	202	-19
106	1719999640.093862	0.0025272109150261965	246	3033	-19
107	1719999640.1989865	0.004202375157079621	258	687	-19
108	1719999640.3044121	0.002842009198598697	662	868	-41
109	1719999640.4095888	0.0021889531586707497	1788	2150	-20
110	1719999640.5307024	0.0021176683605389425	594	276	-21
111	1719999640.6435962	0.0023904045949826843	483	824	-19
112	1719999640.749709	0.0025008257443495494	476	2075	-27
113	1719999640.8565626	0.0022875022038130986	211	571	-21
114	1719999640.9650078	0.00280374858549126	517	3144	-20
115	1719999641.0706325	0.002163969234591884	3337	2142	-22
116	1719999641.175731	0.002225337543554007	2682	388	-15
117	1719999641.2809982	0.0021382234624723663	520	2210	-26
118	1719999641.386536	0.0025426905550110877	3387	569	-22
119	1719999641.4971244	0.002801567153564671	1230	1674	-22
120	1719999641.602418	0.002164163715019296	2380	2828	-19
121	1719999641.707715	0.002105873348700925	421	1606	-18
122	1719999641.8131797	0.0021745715280320804	695	2625	-18
123	1719999641.919986	0.0023634330706552666	1261	2454	-18
124	1719999642.025784	0.0024606787146784445	635	1869	-20
125	1719999642.1311269	0.0025301559282141805	563	266	-24
126	1719999642.2361858	0.0023470235474103295	2747	231	-19
127	1719999642.3411646	0.0026110490513945274	1997	1069	-23
128	1719999642.4462578	0.005118781992387453	488	3201	-20
129	1719999642.551681	0.0023902123751318133	2739	638	-18
130	1719999642.6599882	0.0220312321306424	347	767	-19
131	1719999642.7675083	0.017066931899529673	717	905	-19
132	1719999642.8742707	0.004773253500235158	1795	2868	-22
133	1719999642.9796145	0.017248931719440024	773	1053	-19
134	1719999643.086378	0.003999121867976924	2692	776	-18
135	1719999643.1917121	0.0040581219020890385	1680	2493	-19
136	1719999643.30052	0.005210487501176244	619	1980	-18
137	1719999643.4059665	0.014616346115076005	338	285	-19
138	1719999643.5151286	0.0031825821541288535	1344	634	-19
139	1719999643.6205037	0.0023484438445633637	3090	3060	-20
